categoria,capitulo,descricao_categoria,grupo,sub_categoria,descricao_subcategoria,descricao_grupo,descricao_capitulo
A04,I,Outras infecções intestinais bacterianas,A00-A09,A040,Infecção por Escherichia coli enteropatogênica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A041,Infecção por Escherichia coli enterotoxigênica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A042,Infecção por Escherichia coli enteroinvasiva,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A043,Infecção por Escherichia coli enterohemorrágica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A044,Outras infecções intestinais por Escherichia coli,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A045,Enterite por Campylobacter,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A046,Enterite devida a Yersinia enterocolítica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A047,Enterocolite devida a Clostridium difficile,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A048,Outras infecções bacterianas intestinais especificadas,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A04,I,Outras infecções intestinais bacterianas,A00-A09,A049,Infecção intestinal bacteriana não especificada,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A050,Intoxicação alimentar estafilocócica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A051,Botulismo,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A053,Intoxicação alimentar devida a Vibrio parahemolyticus,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A054,Intoxicação alimentar devida a Bacillus cereus,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A058,Outras intoxicações alimentares bacterianas especificadas,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A05,I,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A00-A09,A059,Intoxicação alimentar bacteriana não especificada,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A060,Disenteria amebiana aguda,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A061,Amebíase intestinal crônica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A062,Colite amebiana não-disentérica,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A063,Ameboma intestinal,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A064,Abscesso amebiano do fígado,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A065,Abscesso amebiano do pulmão,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A066,Abscesso amebiano do cérebro,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A067,Amebíase cutânea,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A068,Infecção amebiana de outras localizações,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A06,I,Amebíase,A00-A09,A069,Amebíase não especificada,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A07,I,Outras doenças intestinais por protozoários,A00-A09,A070,Balantidíase,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A07,I,Outras doenças intestinais por protozoários,A00-A09,A071,Giardíase [lamblíase],Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A07,I,Outras doenças intestinais por protozoários,A00-A09,A072,Criptosporidiose,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A07,I,Outras doenças intestinais por protozoários,A00-A09,A073,Isosporíase,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A07,I,Outras doenças intestinais por protozoários,A00-A09,A078,Outras doenças intestinais especificadas por protozoários,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A07,I,Outras doenças intestinais por protozoários,A00-A09,A079,Doença intestinal não especificada por protozoários,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A08,I,"Infecções intestinais virais, outras e as não especificadas",A00-A09,A080,Enterite por rotavírus,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A08,I,"Infecções intestinais virais, outras e as não especificadas",A00-A09,A081,Gastroenteropatia aguda pelo agente de Norwalk,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A08,I,"Infecções intestinais virais, outras e as não especificadas",A00-A09,A082,Enterite por adenovírus,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A08,I,"Infecções intestinais virais, outras e as não especificadas",A00-A09,A083,Outras enterites virais,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A08,I,"Infecções intestinais virais, outras e as não especificadas",A00-A09,A084,Infecção intestinal devida a vírus não especificado,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A08,I,"Infecções intestinais virais, outras e as não especificadas",A00-A09,A085,Outras infecções intestinais especificadas,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A09,I,Diarréia e gastroenterite de origem infecciosa presumível,A00-A09,A09,Diarréia e gastroenterite de origem infecciosa presumível,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A151,"Tuberculose pulmonar, com confirmação somente por cultura",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A152,"Tuberculose pulmonar, com confirmação histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A153,"Tuberculose pulmonar, com confirmação por meio não especificado",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A15,I,"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15-A19,A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A16,I,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A15-A19,A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",Tuberculose,   Algumas doenças infecciosas e parasitárias
A17,I,Tuberculose do sistema nervoso,A15-A19,A170,Meningite tuberculosa,Tuberculose,   Algumas doenças infecciosas e parasitárias
A17,I,Tuberculose do sistema nervoso,A15-A19,A171,Tuberculoma meníngeo,Tuberculose,   Algumas doenças infecciosas e parasitárias
A17,I,Tuberculose do sistema nervoso,A15-A19,A178,Outras tuberculoses do sistema nervoso,Tuberculose,   Algumas doenças infecciosas e parasitárias
A17,I,Tuberculose do sistema nervoso,A15-A19,A179,Tuberculose não especificada do sistema nervoso,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A180,Tuberculose óssea e das articulações,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A181,Tuberculose do aparelho geniturinário,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A182,Linfadenopatia tuberculosa periférica,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A184,Tuberculose de pele e do tecido celular subcutâneo,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A185,Tuberculose do olho,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A186,Tuberculose do ouvido,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A187,Tuberculose das supra-renais,Tuberculose,   Algumas doenças infecciosas e parasitárias
A18,I,Tuberculose de outros órgãos,A15-A19,A188,Tuberculose de outros órgãos especificados,Tuberculose,   Algumas doenças infecciosas e parasitárias
A19,I,Tuberculose miliar,A15-A19,A190,Tuberculose miliar aguda de localização única e especificada,Tuberculose,   Algumas doenças infecciosas e parasitárias
A19,I,Tuberculose miliar,A15-A19,A191,Tuberculose miliar aguda de múltiplas localizações,Tuberculose,   Algumas doenças infecciosas e parasitárias
A19,I,Tuberculose miliar,A15-A19,A192,Tuberculose miliar aguda não especificada,Tuberculose,   Algumas doenças infecciosas e parasitárias
A19,I,Tuberculose miliar,A15-A19,A198,Outras tuberculoses miliares,Tuberculose,   Algumas doenças infecciosas e parasitárias
A19,I,Tuberculose miliar,A15-A19,A199,Tuberculose miliar não especificada,Tuberculose,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A200,Peste bubônica,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A201,Peste celulocutânea,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A202,Peste pneumônica,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A203,Peste meníngea,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A207,Peste septicêmica,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A208,Outras formas de peste,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A20,I,Peste,A20-A28,A209,"Peste, forma não especificada",Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A210,Tularemia ulceroglandular,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A211,Tularemia oculoglandular,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A212,Tularemia pulmonar,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A213,Tularemia gastrointestinal,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A217,Tularemia generalizada,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A218,Outras formas de tularemia,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A21,I,Tularemia,A20-A28,A219,"Tularemia, forma não especificada",Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A22,I,Carbúnculo,A20-A28,A220,Carbúnculo cutâneo,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A22,I,Carbúnculo,A20-A28,A221,Carbúnculo pulmonar,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A22,I,Carbúnculo,A20-A28,A222,Carbúnculo gastrointestinal,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A22,I,Carbúnculo,A20-A28,A227,Septicemia carbunculosa,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A22,I,Carbúnculo,A20-A28,A228,Outras formas de carbúnculo,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A22,I,Carbúnculo,A20-A28,A229,"Carbúnculo, forma não especificada",Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A23,I,Brucelose,A20-A28,A230,Brucelose por Brucella melitensis,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A23,I,Brucelose,A20-A28,A231,Brucelose por Brucella abortus,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A23,I,Brucelose,A20-A28,A232,Brucelose por Brucella suis,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A23,I,Brucelose,A20-A28,A233,Brucelose por Brucella canis,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A23,I,Brucelose,A20-A28,A238,Outras bruceloses,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A23,I,Brucelose,A20-A28,A239,Brucelose não especificada,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A24,I,Mormo e melioidose,A20-A28,A240,Mormo,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A24,I,Mormo e melioidose,A20-A28,A241,Melioidose aguda e fulminante,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A24,I,Mormo e melioidose,A20-A28,A242,Melioidose subaguda e crônica,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A24,I,Mormo e melioidose,A20-A28,A243,Outras melioidoses,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A24,I,Mormo e melioidose,A20-A28,A244,Melioidose não especificada,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A25,I,Febres transmitidas por mordedura de rato,A20-A28,A250,Espirilose,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A25,I,Febres transmitidas por mordedura de rato,A20-A28,A251,Estreptobacilose,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A25,I,Febres transmitidas por mordedura de rato,A20-A28,A259,"Febre transmitida por mordedura de rato, tipo não especificado",Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A26,I,Erisipelóide,A20-A28,A260,Erisipelóide cutâneo,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A26,I,Erisipelóide,A20-A28,A267,Septicemia por Erysipelothrix,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A26,I,Erisipelóide,A20-A28,A268,Outras formas de erisipelóide,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A26,I,Erisipelóide,A20-A28,A269,Erisipelóide não especificado,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A27,I,Leptospirose,A20-A28,A270,Leptopirose icterohemorrágica,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A27,I,Leptospirose,A20-A28,A278,Outras formas de leptospirose,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A27,I,Leptospirose,A20-A28,A279,Leptospirose não especificada,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A28,I,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A20-A28,A280,Pasteurelose,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A28,I,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A20-A28,A281,Doença por arranhadura do gato,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A28,I,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A20-A28,A282,Yersiniose extra-intestinal,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A28,I,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A20-A28,A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A28,I,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A20-A28,A289,Doença bacteriana zoonótica não especificada,Algumas doenças bacterianas zoonóticas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A300,Hanseníase [lepra] indeterminada,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A301,Hanseníase [lepra] tuberculóide,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A302,Hanseníase [lepra] tuberculóide borderline,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A303,Hanseníase [lepra] dimorfa,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A304,Hanseníase [lepra] lepromatosa borderline,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A305,Hanseníase [lepra] lepromatosa,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A308,Outras formas de hanseníase [lepra],Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A30,I,Hanseníase [doença de Hansen] [lepra],A30-A49,A309,Hanseníase [lepra] não especificada,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A31,I,Infecções devidas a outras micobactérias,A30-A49,A310,Infecção pulmonar micobacteriana,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A31,I,Infecções devidas a outras micobactérias,A30-A49,A311,Infecção cutânea micobacteriana,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A31,I,Infecções devidas a outras micobactérias,A30-A49,A318,Outras infecções micobacterianas,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A31,I,Infecções devidas a outras micobactérias,A30-A49,A319,Infecção micobacteriana não especificada,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A32,I,Listeriose [listeríase],A30-A49,A320,Listeriose cutânea,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A32,I,Listeriose [listeríase],A30-A49,A321,Meningite e meningoencefalite por listéria,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A32,I,Listeriose [listeríase],A30-A49,A327,Septicemia listeriótica,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A32,I,Listeriose [listeríase],A30-A49,A328,Outras formas de listeriose,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A32,I,Listeriose [listeríase],A30-A49,A329,Listeriose não especificada,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A33,I,Tétano do recém-nascido [neonatal],A30-A49,A33,Tétano do recém-nascido [neonatal],Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A34,I,Tétano obstétrico,A30-A49,A34,Tétano obstétrico,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A35,I,Outros tipos de tétano,A30-A49,A35,Outros tipos de tétano,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A36,I,Difteria,A30-A49,A360,Difteria faríngea,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A36,I,Difteria,A30-A49,A361,Difteria nasofaríngea,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A36,I,Difteria,A30-A49,A362,Difteria laríngea,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A36,I,Difteria,A30-A49,A363,Difteria cutânea,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A36,I,Difteria,A30-A49,A368,Outras formas de difteria,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A36,I,Difteria,A30-A49,A369,Difteria não especificada,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A37,I,Coqueluche,A30-A49,A370,Coqueluche por Bordetella pertussis,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A37,I,Coqueluche,A30-A49,A371,Coqueluche por Bordetella parapertussis,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A37,I,Coqueluche,A30-A49,A378,Coqueluche por outras espécies da Bordetella,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A37,I,Coqueluche,A30-A49,A379,Coqueluche não especificada,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A38,I,Escarlatina,A30-A49,A38,Escarlatina,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A39,I,Infecção meningogócica,A30-A49,A390,Meningite meningocócica,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A39,I,Infecção meningogócica,A30-A49,A391,Síndrome de Waterhouse-Friderichsen,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
A39,I,Infecção meningogócica,A30-A49,A392,Meningococcemia aguda,Outras doenças bacterianas,   Algumas doenças infecciosas e parasitárias
